id	fid	cluster
Cume11g0675	CumeAT42	Left_Cume11_cluster_2
Cume11g0677	CumeAT43	Left_Cume11_cluster_2
Cume11g0678	CumeAT44	Left_Cume11_cluster_2
Cume11g0735	CumeCYP192	Left_Cume11_cluster_2
Cume11g0738	CumeCYP193	Left_Cume11_cluster_2
Cume11g0739	CumeCYP194	Left_Cume11_cluster_2
Cume11g0746	CumeCYP195	Left_Cume11_cluster_2
Cume11g0747	CumeCYP196	Left_Cume11_cluster_2
Cume11g0751	CumeCYP197	Left_Cume11_cluster_2
Cume11g1024	CumeHMGR3	clusterUn
Cume11g1682	CumeCYP198	clusterUn
Cume12g0007	CumeCYP207	Left_Cume12_cluster_1
Cume12g0101	CumeCYP208	Left_Cume12_cluster_1
Cume12g0155	CumeCYP209	Left_Cume12_cluster_1
Cume12g0220	CumeAT46	Left_Cume12_cluster_1
Cume12g0221	CumeAT47	Left_Cume12_cluster_1
Cume12g0223	CumeAT48	Left_Cume12_cluster_1
Cume12g0224	CumeAT49	Left_Cume12_cluster_1
Cume12g0225	CumeAT50	Left_Cume12_cluster_1
Cume12g0554	CumeCYP210	clusterUn
Cume12g0613	CumeCYP211	clusterUn
Cume12g1306	CumeIPPI24	clusterUn
Cume1g2420	CumeCYP7	Left_Cume1_cluster_3
Cume1g2492	CumeCYP8	Left_Cume1_cluster_3
Cume1g2539	CumeIPPI2	Left_Cume1_cluster_3
Cume1g2540	CumeIPPI3	Left_Cume1_cluster_3
Cume1g2541	CumeIPPI4	Left_Cume1_cluster_3
Cume1g2546	CumeAT2	Left_Cume1_cluster_3
Cume1g2547	CumeAT3	Left_Cume1_cluster_3
Cume1g2724	CumeOSC1	Left_Cume1_cluster_3
Cume1g2725	CumeOSC2	Left_Cume1_cluster_3
Cume1g2852	CumeCYP9	Left_Cume1_cluster_3
