Cume1g0009	CumeCYP1
Cume1g0557	CumeIPPI1
Cume1g2539	CumeIPPI2
Cume1g2540	CumeIPPI3
Cume1g2541	CumeIPPI4
Cume2g0907	CumeIPPI5
Cume2g1243	CumeIPPI6
Cume3g1280	CumeIPPI7
Cume3g1484	CumeIPPI8
Cume4g2245	CumeIPPI9
Cume5g1136	CumeIPPI10
Cume5g1939	CumeIPPI11
Cume6g1959	CumeIPPI12
Cume6g2546	CumeIPPI13
Cume8g0246	CumeIPPI14
Cume8g1031	CumeIPPI15
Cume9g0912	CumeIPPI16
Cume9g1347	CumeIPPI17
Cume9g1431	CumeIPPI18
Cume9g1694	CumeIPPI19
Cume10g0072	CumeIPPI20
Cume10g0166	CumeIPPI21
Cume10g0305	CumeIPPI22
Cume10g1537	CumeIPPI23
Cume12g1306	CumeIPPI24
Cume1g0558	CumeAACT1
Cume4g0869	CumeAACT2
Cume5g0692	CumeAACT3
Cume6g0405	CumeAACT4
Cume1g0870	CumeFPPS1
Cume3g0910	CumeFPPS2
Cume7g1384	CumeFPPS3
Cume1g1214	CumeGPPS1
Cume8g0115	CumeGPPS2
Cume8g0499	CumeGPPS3
Cume11g0220	CumeGPPS4
Cume1g1806	CumeAT1
Cume1g2546	CumeAT2
Cume1g2547	CumeAT3
Cume2g1307	CumeAT4
Cume2g2035	CumeAT5
Cume2g2085	CumeAT6
Cume3g0232	CumeAT7
Cume3g1930	CumeAT8
Cume3g2193	CumeAT9
Cume3g2194	CumeAT10
Cume3g2195	CumeAT11
Cume4g0234	CumeAT12
Cume4g2699	CumeAT13
Cume5g0735	CumeAT14
Cume5g1775	CumeAT15
Cume6g0722	CumeAT16
Cume6g1021	CumeAT17
Cume7g0109	CumeAT18
Cume7g0335	CumeAT19
Cume7g0336	CumeAT20
Cume7g0338	CumeAT21
Cume7g0339	CumeAT22
Cume7g0340	CumeAT23
Cume7g1467	CumeAT24
Cume7g1859	CumeAT25
Cume7g1860	CumeAT26
Cume7g1861	CumeAT27
Cume7g1862	CumeAT28
Cume7g1864	CumeAT29
Cume7g2159	CumeAT30
Cume8g0244	CumeAT31
Cume8g1990	CumeAT32
Cume8g2511	CumeAT33
Cume9g0215	CumeAT34
Cume10g0626	CumeAT35
Cume10g0627	CumeAT36
Cume10g0718	CumeAT37
Cume10g1448	CumeAT38
Cume10g1556	CumeAT39
Cume11g0663	CumeAT40
Cume11g0666	CumeAT41
Cume11g0675	CumeAT42
Cume11g0677	CumeAT43
Cume11g0678	CumeAT44
Cume11g2384	CumeAT45
Cume12g0220	CumeAT46
Cume12g0221	CumeAT47
Cume12g0223	CumeAT48
Cume12g0224	CumeAT49
Cume12g0225	CumeAT50
Cume12g1613	CumeAT51
Cume12g1614	CumeAT52
Cume12g1765	CumeAT53
Cume1g1907	CumeHMGR1
Cume3g1323	CumeHMGR2
Cume11g1024	CumeHMGR3
Cume1g2724	CumeOSC1
Cume1g2725	CumeOSC2
Cume2g1650	CumeOSC3
Cume5g1729	CumeOSC4
Cume9g0708	CumeOSC5
Cume11g2385	CumeOSC6
Cume4g0314	CumePMK1
Cume6g0801	CumePMK2
Cume5g0071	CumeSQS1
Cume6g2617	CumeSQS2
Cume7g1440	CumeSQS3
Cume9g1005	CumeSQS4
Cume11g0166	CumeSQS5
Cume5g1667	CumeMK1
Cume5g1668	CumeMK2
Cume6g0079	CumeMK3
Cume6g2665	CumeHMGS1
Cume10g0144	CumeMPDC1
