id	fid	cluster
Bhhi2g0357	BhhiCYP18	Right_Bhhi2_cluster_1
Bhhi2g0358	BhhiCYP19	Right_Bhhi2_cluster_1
Bhhi2g0397	BhhiAT10	Right_Bhhi2_cluster_1
Bhhi2g0410	BhhiCYP20	Right_Bhhi2_cluster_1
Bhhi2g0422	BhhiCYP21	Right_Bhhi2_cluster_1
Bhhi2g0636	BhhiIPPI2	Right_Bhhi2_cluster_2
Bhhi2g0653	BhhiCYP22	Right_Bhhi2_cluster_2
Bhhi2g0682	BhhiAT11	Right_Bhhi2_cluster_2
Bhhi2g0812	BhhiIPPI3	clusterUn
Bhhi2g0925	BhhiCYP23	Right_Bhhi2_cluster_3
Bhhi2g0927	BhhiCYP24	Right_Bhhi2_cluster_3
Bhhi2g0929	BhhiCYP25	Right_Bhhi2_cluster_3
Bhhi2g1139	BhhiCYP26	clusterUn
Bhhi3g0052	BhhiCYP28	clusterUn
Bhhi3g0078	BhhiGPPS1	clusterUn
Bhhi3g0208	BhhiAT12	clusterUn
Bhhi3g0210	BhhiIPPI4	clusterUn
Bhhi3g0347	BhhiCYP29	Right_Bhhi3_cluster_1
Bhhi3g0422	BhhiCYP30	Right_Bhhi3_cluster_1
Bhhi3g0423	BhhiCYP31	Right_Bhhi3_cluster_1
Bhhi3g0545	BhhiCYP32	Right_Bhhi3_cluster_2
Bhhi3g0559	BhhiCYP33	Right_Bhhi3_cluster_2
Bhhi3g0570	BhhiCYP34	Right_Bhhi3_cluster_2
Bhhi3g0596	BhhiCYP35	Right_Bhhi3_cluster_2
Bhhi3g0597	BhhiCYP36	Right_Bhhi3_cluster_2
Bhhi3g0781	BhhiCYP37	Right_Bhhi3_cluster_3
Bhhi3g0782	BhhiCYP38	Right_Bhhi3_cluster_3
Bhhi3g0783	BhhiCYP39	Right_Bhhi3_cluster_3
Bhhi3g0785	BhhiCYP40	Right_Bhhi3_cluster_3
Bhhi3g0786	BhhiCYP41	Right_Bhhi3_cluster_3
Bhhi3g0787	BhhiCYP42	Right_Bhhi3_cluster_3
Bhhi3g0945	BhhiCYP43	clusterUn
Bhhi3g1230	BhhiGPPS2	Right_Bhhi3_cluster_4
Bhhi3g1239	BhhiCYP44	Right_Bhhi3_cluster_4
Bhhi3g1241	BhhiCYP45	Right_Bhhi3_cluster_4
Bhhi3g1243	BhhiCYP46	Right_Bhhi3_cluster_4
Bhhi3g1244	BhhiCYP47	Right_Bhhi3_cluster_4
Bhhi3g1339	BhhiAT13	clusterUn
Bhhi4g0004	BhhiIPPI5	clusterUn
Bhhi4g0134	BhhiCYP49	Right_Bhhi4_cluster_1
Bhhi4g0137	BhhiAT14	Right_Bhhi4_cluster_1
Bhhi4g0209	BhhiCYP50	Right_Bhhi4_cluster_1
Bhhi4g0254	BhhiCYP51	Right_Bhhi4_cluster_1
Bhhi4g0290	BhhiCYP52	Right_Bhhi4_cluster_1
Bhhi4g0336	BhhiSQE1	Right_Bhhi4_cluster_1
Bhhi4g0406	BhhiAT15	Right_Bhhi4_cluster_2
Bhhi4g0407	BhhiAT16	Right_Bhhi4_cluster_2
Bhhi4g0408	BhhiAT17	Right_Bhhi4_cluster_2
Bhhi4g0489	BhhiOSC2	clusterUn
Bhhi4g0756	BhhiCYP53	clusterUn
Bhhi4g0819	BhhiHMGR1	Right_Bhhi4_cluster_3
Bhhi4g0826	BhhiCYP54	Right_Bhhi4_cluster_3
Bhhi4g0887	BhhiIPPI6	Right_Bhhi4_cluster_3
Bhhi5g0062	BhhiAACT2	Right_Bhhi5_cluster_1
Bhhi5g0088	BhhiCYP55	Right_Bhhi5_cluster_1
Bhhi5g0089	BhhiCYP56	Right_Bhhi5_cluster_1
Bhhi5g0157	BhhiCYP57	clusterUn
Bhhi5g0627	BhhiSQE2	clusterUn
Bhhi5g0680	BhhiCYP58	clusterUn
Bhhi5g0771	BhhiCYP59	clusterUn
Bhhi5g0772	BhhiCYP60	clusterUn
Bhhi5g0825	BhhiAT19	clusterUn
Bhhi5g0892	BhhiCYP61	clusterUn
Bhhi5g0978	BhhiIPPI7	Right_Bhhi5_cluster_2
Bhhi5g0979	BhhiAACT3	Right_Bhhi5_cluster_2
Bhhi5g1010	BhhiHMGR2	Right_Bhhi5_cluster_2
Bhhi5g1097	BhhiGPPS3	clusterUn
Bhhi5g1186	BhhiCYP62	clusterUn
Bhhi5g1269	BhhiMK2	clusterUn
Bhhi6g0057	BhhiCYP64	clusterUn
Bhhi6g0184	BhhiCYP65	clusterUn
Bhhi6g0205	BhhiAT20	clusterUn
Bhhi6g0361	BhhiCYP66	clusterUn
Bhhi6g0399	BhhiOSC3	clusterUn
Bhhi6g0502	BhhiOSC4	clusterUn
Bhhi6g0623	BhhiAT21	clusterUn
Bhhi6g0672	BhhiIPPI8	clusterUn
Bhhi6g0703	BhhiCYP67	Right_Bhhi6_cluster_1
Bhhi6g0704	BhhiCYP68	Right_Bhhi6_cluster_1
Bhhi6g0705	BhhiCYP69	Right_Bhhi6_cluster_1
Bhhi6g1054	BhhiOSC5	clusterUn
Bhhi6g1086	BhhiAT22	clusterUn
Bhhi7g0039	BhhiCYP71	clusterUn
Bhhi7g0156	BhhiIPPI10	clusterUn
Bhhi7g0245	BhhiCYP72	clusterUn
Bhhi7g0312	BhhiAT23	clusterUn
Bhhi7g0337	BhhiCYP73	clusterUn
Bhhi7g0428	BhhiIPPI11	Right_Bhhi7_cluster_1
Bhhi7g0444	BhhiMPDC1	Right_Bhhi7_cluster_1
Bhhi7g0456	BhhiCYP74	Right_Bhhi7_cluster_1
Bhhi7g0516	BhhiIPPI12	clusterUn
Bhhi7g0700	BhhiCYP75	clusterUn
Bhhi7g0715	BhhiAT24	clusterUn
Bhhi7g0848	BhhiIPPI13	Right_Bhhi7_cluster_2
Bhhi7g0886	BhhiCYP76	Right_Bhhi7_cluster_2
Bhhi7g0887	BhhiCYP77	Right_Bhhi7_cluster_2
Bhhi7g0888	BhhiCYP78	Right_Bhhi7_cluster_2
Bhhi8g0040	BhhiCYP86	clusterUn
Bhhi8g0237	BhhiCYP87	clusterUn
Bhhi8g0315	BhhiCYP88	Right_Bhhi8_cluster_1
Bhhi8g0362	BhhiCYP89	Right_Bhhi8_cluster_1
Bhhi8g0404	BhhiAT26	Right_Bhhi8_cluster_1
Bhhi8g0407	BhhiAT27	Right_Bhhi8_cluster_1
Bhhi8g0411	BhhiAT28	Right_Bhhi8_cluster_1
Bhhi8g0426	BhhiFPPS2	Right_Bhhi8_cluster_1
Bhhi8g0442	BhhiAACT4	Right_Bhhi8_cluster_1
Bhhi8g0664	BhhiCYP90	clusterUn
Bhhi8g0875	BhhiCYP91	clusterUn
Bhhi8g0876	BhhiAT29	clusterUn
Bhhi8g1057	BhhiCYP92	Right_Bhhi8_cluster_2
Bhhi8g1058	BhhiCYP93	Right_Bhhi8_cluster_2
Bhhi8g1060	BhhiCYP94	Right_Bhhi8_cluster_2
Bhhi8g1062	BhhiCYP95	Right_Bhhi8_cluster_2
Bhhi8g1064	BhhiCYP96	Right_Bhhi8_cluster_2
Bhhi8g1066	BhhiCYP97	Right_Bhhi8_cluster_2
Bhhi8g1095	BhhiAT30	Right_Bhhi8_cluster_2
Bhhi9g0120	BhhiOSC6	clusterUn
Bhhi9g0122	BhhiOSC7	clusterUn
Bhhi9g0243	BhhiCYP98	clusterUn
Bhhi9g0347	BhhiAT31	Right_Bhhi9_cluster_1
Bhhi9g0352	BhhiIPPI15	Right_Bhhi9_cluster_1
Bhhi9g0404	BhhiCYP99	Right_Bhhi9_cluster_1
Bhhi9g0476	BhhiCYP100	clusterUn
Bhhi9g0909	BhhiCYP101	clusterUn
Bhhi9g0910	BhhiCYP102	clusterUn
Bhhi9g0949	BhhiCYP103	clusterUn
Bhhi9g1161	BhhiFPPS3	clusterUn
Bhhi9g1219	BhhiCYP104	Right_Bhhi9_cluster_2
Bhhi9g1220	BhhiCYP105	Right_Bhhi9_cluster_2
Bhhi9g1232	BhhiCYP106	Right_Bhhi9_cluster_2
Bhhi9g1322	BhhiCYP107	Right_Bhhi9_cluster_3
Bhhi9g1323	BhhiCYP108	Right_Bhhi9_cluster_3
Bhhi9g1324	BhhiCYP109	Right_Bhhi9_cluster_3
Bhhi9g1326	BhhiCYP110	Right_Bhhi9_cluster_3
Bhhi9g1327	BhhiCYP111	Right_Bhhi9_cluster_3
Bhhi9g1331	BhhiCYP112	Right_Bhhi9_cluster_3
Bhhi9g1332	BhhiCYP113	Right_Bhhi9_cluster_3
Bhhi9g1336	BhhiCYP114	Right_Bhhi9_cluster_3
Bhhi9g1337	BhhiCYP115	Right_Bhhi9_cluster_3
Bhhi9g1343	BhhiCYP116	Right_Bhhi9_cluster_3
Bhhi9g1344	BhhiCYP117	Right_Bhhi9_cluster_3
Bhhi9g1346	BhhiCYP118	Right_Bhhi9_cluster_3
Bhhi9g1347	BhhiCYP119	Right_Bhhi9_cluster_3
Bhhi9g1348	BhhiCYP120	Right_Bhhi9_cluster_3
Bhhi9g1349	BhhiCYP121	Right_Bhhi9_cluster_3
Bhhi9g1350	BhhiCYP122	Right_Bhhi9_cluster_3
Bhhi9g1625	BhhiAT32	clusterUn
Bhhi9g1705	BhhiCYP123	clusterUn
Bhhi9g1890	BhhiAT33	clusterUn
Bhhi9g1980	BhhiCYP124	Right_Bhhi9_cluster_4
Bhhi9g2012	BhhiSQE3	Right_Bhhi9_cluster_4
Bhhi9g2060	BhhiCYP125	Right_Bhhi9_cluster_4
Bhhi9g2061	BhhiCYP126	Right_Bhhi9_cluster_4
Bhhi9g2064	BhhiCYP127	Right_Bhhi9_cluster_4
Bhhi9g2065	BhhiCYP128	Right_Bhhi9_cluster_4
Bhhi9g2088	BhhiAT34	Right_Bhhi9_cluster_4
Bhhi9g2089	BhhiAT35	Right_Bhhi9_cluster_4
Bhhi9g2090	BhhiAT36	Right_Bhhi9_cluster_4
Bhhi9g2091	BhhiAT37	Right_Bhhi9_cluster_4
Bhhi9g2108	BhhiCYP129	Right_Bhhi9_cluster_4
Bhhi9g2144	BhhiCYP130	Right_Bhhi9_cluster_4
Bhhi10g0263	BhhiSQS2	clusterUn
Bhhi10g0559	BhhiCYP132	clusterUn
Bhhi10g0939	BhhiCYP133	Right_Bhhi10_cluster_1
Bhhi10g0940	BhhiCYP134	Right_Bhhi10_cluster_1
Bhhi10g0942	BhhiCYP135	Right_Bhhi10_cluster_1
Bhhi10g0943	BhhiCYP136	Right_Bhhi10_cluster_1
Bhhi10g0944	BhhiCYP137	Right_Bhhi10_cluster_1
Bhhi10g0947	BhhiCYP138	Right_Bhhi10_cluster_1
Bhhi10g0957	BhhiCYP139	Right_Bhhi10_cluster_1
Bhhi10g0958	BhhiCYP140	Right_Bhhi10_cluster_1
Bhhi10g0971	BhhiAT38	Right_Bhhi10_cluster_1
Bhhi10g0972	BhhiAT39	Right_Bhhi10_cluster_1
Bhhi10g0973	BhhiAT40	Right_Bhhi10_cluster_1
Bhhi10g0974	BhhiAT41	Right_Bhhi10_cluster_1
Bhhi10g0975	BhhiAT42	Right_Bhhi10_cluster_1
Bhhi10g0976	BhhiAT43	Right_Bhhi10_cluster_1
Bhhi10g0977	BhhiAT44	Right_Bhhi10_cluster_1
Bhhi10g0978	BhhiAT45	Right_Bhhi10_cluster_1
Bhhi10g0981	BhhiAT46	Right_Bhhi10_cluster_1
Bhhi10g0993	BhhiCYP141	Right_Bhhi10_cluster_1
Bhhi10g1010	BhhiCYP142	Right_Bhhi10_cluster_1
Bhhi10g1032	BhhiCYP143	Right_Bhhi10_cluster_1
Bhhi10g1033	BhhiCYP144	Right_Bhhi10_cluster_1
Bhhi10g1035	BhhiCYP145	Right_Bhhi10_cluster_1
Bhhi10g1036	BhhiCYP146	Right_Bhhi10_cluster_1
Bhhi10g1038	BhhiCYP147	Right_Bhhi10_cluster_1
Bhhi10g1050	BhhiAT47	Right_Bhhi10_cluster_1
Bhhi10g1248	BhhiSQS3	clusterUn
Bhhi11g0036	BhhiIPPI16	Right_Bhhi11_cluster_1
Bhhi11g0086	BhhiCYP149	Right_Bhhi11_cluster_1
Bhhi11g0087	BhhiCYP150	Right_Bhhi11_cluster_1
Bhhi11g0223	BhhiHMGS1	clusterUn
Bhhi11g0231	BhhiCYP151	clusterUn
Bhhi11g0340	BhhiCYP152	clusterUn
Bhhi11g0552	BhhiCYP153	clusterUn
Bhhi11g0716	BhhiAT48	Right_Bhhi11_cluster_2
Bhhi11g0717	BhhiAT49	Right_Bhhi11_cluster_2
Bhhi11g0718	BhhiAT50	Right_Bhhi11_cluster_2
Bhhi11g0829	BhhiCYP154	Right_Bhhi11_cluster_3
Bhhi11g0878	BhhiCYP155	Right_Bhhi11_cluster_3
Bhhi11g0879	BhhiCYP156	Right_Bhhi11_cluster_3
Bhhi11g0880	BhhiCYP157	Right_Bhhi11_cluster_3
Bhhi11g1230	BhhiCYP158	clusterUn
Bhhi11g1273	BhhiCYP159	clusterUn
Bhhi11g1522	BhhiIPPI17	clusterUn
Bhhi11g1614	BhhiIPPI18	Right_Bhhi11_cluster_4
Bhhi11g1623	BhhiCYP160	Right_Bhhi11_cluster_4
Bhhi11g1624	BhhiCYP161	Right_Bhhi11_cluster_4
Bhhi11g1625	BhhiCYP162	Right_Bhhi11_cluster_4
Bhhi11g1626	BhhiCYP163	Right_Bhhi11_cluster_4
Bhhi11g1645	BhhiCYP164	Right_Bhhi11_cluster_4
Bhhi11g1646	BhhiCYP165	Right_Bhhi11_cluster_4
Bhhi11g1647	BhhiCYP166	Right_Bhhi11_cluster_4
Bhhi11g1689	BhhiCYP167	Right_Bhhi11_cluster_4
Bhhi11g1690	BhhiCYP168	Right_Bhhi11_cluster_4
Bhhi11g1783	BhhiCYP169	Right_Bhhi11_cluster_5
Bhhi11g1786	BhhiCYP170	Right_Bhhi11_cluster_5
Bhhi11g1787	BhhiCYP171	Right_Bhhi11_cluster_5
Bhhi11g1788	BhhiCYP172	Right_Bhhi11_cluster_5
Bhhi12g0190	BhhiCYP174	clusterUn
Bhhi12g0238	BhhiIPPI19	Right_Bhhi12_cluster_1
Bhhi12g0239	BhhiCYP175	Right_Bhhi12_cluster_1
Bhhi12g0241	BhhiCYP176	Right_Bhhi12_cluster_1
Bhhi12g0276	BhhiCYP177	Right_Bhhi12_cluster_1
Bhhi12g0278	BhhiCYP178	Right_Bhhi12_cluster_1
Bhhi12g0279	BhhiCYP179	Right_Bhhi12_cluster_1
Bhhi12g0281	BhhiCYP180	Right_Bhhi12_cluster_1
Bhhi12g0282	BhhiCYP181	Right_Bhhi12_cluster_1
Bhhi12g0354	BhhiCYP182	Right_Bhhi12_cluster_2
Bhhi12g0377	BhhiCYP183	Right_Bhhi12_cluster_2
Bhhi12g0383	BhhiCYP184	Right_Bhhi12_cluster_2
Bhhi12g0560	BhhiIPPI20	clusterUn
Bhhi12g0628	BhhiIPPI21	clusterUn
Bhhi12g0791	BhhiSQS4	clusterUn
Bhhi12g0832	BhhiIPPI22	clusterUn
Bhhi12g0958	BhhiCYP185	Right_Bhhi12_cluster_3
Bhhi12g0967	BhhiAT51	Right_Bhhi12_cluster_3
Bhhi12g0999	BhhiAACT5	Right_Bhhi12_cluster_3
Bhhi12g1240	BhhiCYP186	clusterUn
Bhhi12g1334	BhhiCYP187	clusterUn
Bhhi12g1445	BhhiCYP188	clusterUn
Bhhi12g1582	BhhiCYP189	Right_Bhhi12_cluster_4
Bhhi12g1583	BhhiCYP190	Right_Bhhi12_cluster_4
Bhhi12g1584	BhhiOSC8	Right_Bhhi12_cluster_4
Bhhi12g1585	BhhiAT52	Right_Bhhi12_cluster_4
Bhhi12g1586	BhhiCYP191	Right_Bhhi12_cluster_4
Bhhi1g2276	BhhiCYP15	clusterUn
